"","StockKeyLabel","AssessmentYear","AssessmentKey","Purpose","Ecoregion","AdviceCategory","AssessmentKey1","lineNumber","lineDescription","fishingPressure","stockSize","stockSizeStatus","fishingPressureStatus","year","status","statusicon","type"
"60","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2019,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"61","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","4","Qualitative evaluation","-","-","Not applicable","Decreasing",2016,7,"http://sg.ices.dk/download/icons/7.png","Fishing pressure"
"62","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","4","Qualitative evaluation","-","-","Not applicable","Decreasing",2017,9,"http://sg.ices.dk/download/icons/9.png","Fishing pressure"
"63","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","4","Qualitative evaluation","-","-","Not applicable","Decreasing",2018,9,"http://sg.ices.dk/download/icons/9.png","Fishing pressure"
"64","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","4","Qualitative evaluation","-","-","Not applicable","Decreasing",2017,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"65","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","4","Qualitative evaluation","-","-","Not applicable","Decreasing",2018,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"66","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","4","Qualitative evaluation","-","-","Not applicable","Decreasing",2019,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"67","anf.27.3a46",2018,10174,"Advice","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","10174","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Undefined",2015,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"68","anf.27.3a46",2018,10174,"Advice","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","10174","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Undefined",2016,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"69","anf.27.3a46",2018,10174,"Advice","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","10174","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Undefined",2017,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
